COUNTY,AQI,YEARS,CURRENT PREVALENCE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Fire_Count,GIS_ACRES
Amador,38.45403899721447,2020,6.9,0.193,0.1579,0.1754,0.6667,0.2281,2,68.3997
Butte,65.65573770491805,2020,13.3,0.5965,0.4386,0.2456,0.8596,0.5965,16,321773.9012999999
Calaveras,54.68956043956046,2020,6.9,0.4211,0.3509,0.0526,0,0.1053,2,2991.73
Colusa,55.43442622950823,2020,11.5,0.5263,0.9825,0.7368,0.1053,0.5789,6,1338779.3062699998
Contra Costa,54.17759562841533,2020,8.7,0.1228,0.4912,0.6316,0.1228,0.1754,1,396824
Del Norte,43.328767123287676,2020,8,0.5789,0.6842,0.4035,0.9649,0.7719,1,157430
El Dorado,51.584699453551956,2020,8.8,0.0702,0.1228,0.1404,0.0702,0.0175,4,1724.3982999999998
Fresno,87.1612021857923,2020,12.8,0.9298,0.8947,0.9123,0.7719,0.9649,16,415006.8663
Glenn,57.14010989010994,2020,11.5,0.6842,0.9649,0.5088,0.1404,0.6667,5,1034079.29
Humboldt,32.87158469945355,2020,10.3,0.8596,0.4035,0.2105,0.7193,0.6842,6,144188.5892
Imperial,65.09836065573772,2020,10.6,0.9825,1,1,1,1,3,132.58259999999999
Inyo,78.41530054644818,2020,6.9,0.1579,0.3333,0.4035,0.5088,0.2456,1,9150.4
Kern,88.65300546448087,2020,9,0.9649,0.7544,0.807,0.9123,0.9474,34,12213.58725
Kings,77.89617486338803,2020,12.8,0.807,0.807,0.8246,0.7368,0.8596,2,63.3635
Lake,32.68376068376066,2020,11.7,0.8246,0.7895,0.2807,0.2632,0.6316,16,1338241.0720600002
Los Angeles,99.12295081967217,2020,8.7,0.8772,0.4561,0.9825,0.9474,0.8772,40,157634.58316000004
Madera,71.51092896174868,2020,13.7,0.9123,0.9298,0.7719,0.614,0.9123,4,380435.0567
Marin,42.33060109289619,2020,10.7,0,0.1404,0.2632,0.1754,0.0526,4,4925.7463099999995
Mariposa,70.85519125683066,2020,6.9,0.5614,0.7719,0.1228,0.5088,0.5614,5,7083.847559999999
Mendocino,52.10109289617483,2020,9.8,0.8947,0.8421,0.3684,0.7895,0.8947,7,1035270.6114999998
Merced,64.08196721311478,2020,14.7,0.9474,0.9474,0.9649,0.807,0.9825,4,399798.4716
Mono,113.52732240437155,2020,6.9,0.3158,0,0.3333,0.3684,0.1579,6,51170.19849999999
Monterey,47.54918032786882,2020,8.3,0.7193,0.5614,0.8947,0.8421,0.8246,21,213367.32044999997
Napa,46.79726027397261,2020,14.1,0.2105,0.3684,0.4737,0.6842,0.3684,11,372949.58598
Nevada,56.79781420765022,2020,6,0.1754,0.193,0.0175,0.0351,0.0351,1,705.546
Orange,65.03825136612022,2020,7.9,0.3333,0.3158,0.6667,0.4386,0.4211,11,32903.82449000001
Placer,68.14754098360653,2020,10,0.0175,0.2456,0.2281,0.0175,0,13,1354.0344999999998
Plumas,73.24444444444441,2020,8,0.1404,0.2632,0.0351,0.1579,0.0877,9,395463.1749
Riverside,98.120218579235015,2020,7.3,0.7368,0.5965,0.7544,0.4035,0.6491,17,79211.69548
Sacramento,65.08469945355195,2020,9.9,0.4912,0.6316,0.614,0.4211,0.5439,4,6506.119
San Benito,47.92896174863389,2020,10.9,0.4737,0.3684,0.7719,0.0877,0.3158,5,2433.72555
San Bernardino,107.69125683060112,2020,6.7,0.8421,0.614,0.9474,0.6842,0.8421,25,115767.45933000001
San Diego,78.15300546448086,2020,7.2,0.5088,0.1754,0.5614,0.7544,0.5263,8,20715.866699999995
San Joaquin,62.467213114754124,2020,9.2,0.6667,0.7368,0.8421,0.5965,0.7895,2,396912.6926
San Luis Obispo,60.31693989071043,2020,5.7,0.2632,0.0526,0.2982,0.3333,0.1228,58,9940.760789999998
San Mateo,44.934426229508176,2020,11,0.0351,0.0351,0.7018,0.3509,0.0702,2,86560.28967
Santa Barbara,51.72404371584697,2020,4.3,0.614,0.5439,0.5965,0.9825,0.807,16,2466.5727300000003
Santa Clara,55.967213114754124,2020,7.5,0.0526,0.0877,0.8596,0.6491,0.2105,3,402679.711
Santa Cruz,49.85792349726778,2020,7.4,0.2807,0.193,0.4386,0.8246,0.4035,2,86573.7083
Shasta,46.84699453551913,2020,14.4,0.4561,0.6667,0.1053,0.4737,0.4737,17,1090037.3313999998
Siskiyou,48.67759562841529,2020,8,0.5263,0.4211,0.193,0.2456,0.4561,22,394209.5678
Solano,53.819672131147534,2020,14.8,0.2456,0.6316,0.7193,0.3158,0.386,7,307287.192
Sonoma,41.357923497267755,2020,11.9,0.2105,0.2632,0.386,0.2807,0.193,21,125331.14032
Stanislaus,66.29234972677591,2020,10.9,0.7368,0.8246,0.6491,0.2982,0.7193,1,396824
Tehama,56.83879781420762,2020,11.5,0.7895,0.8596,0.3158,0.4912,0.7544,9,1089903.8296
Trinity,42.82798833819241,2020,8,0.7719,0.7193,0.0526,0.5789,0.614,7,1177309.4989
Tulare,89.29234972677592,2020,15.5,1,0.8947,0.9298,0.4561,0.9298,8,182648.90569999997
Tuolumne,44.3739376770538,2020,6.9,0.4386,0.2982,0.0877,0.5439,0.3333,6,12093.387400000003
Ventura,56.898907103825096,2020,7,0.4035,0.4912,0.5614,0.2281,0.4386,9,3387.6995500000007
Yolo,54.6994535519126,2020,15.5,0.3684,0.1053,0.5263,0.9123,0.4912,8,305496.30512
Alameda,49.945205479452056,2022,9.6,0.0877,0.0702,0.8421,0.8596,0.2807,9,1095.6485
Amador,36.96703296703294,2022,13.9,0.2632,0.1754,0.1754,0.5088,0.2281,2,4482.969
Butte,52.89589041095889,2022,10.4,0.6491,0.4561,0.2632,0.807,0.5965,18,819.3761099999999
Calaveras,42.07967032967033,2022,13.9,0.4035,0.2807,0.0877,0,0.0702,1,4466.22
Contra Costa,50.89041095890411,2022,11.1,0.1053,0.4211,0.6316,0.1404,0.1754,9,461.6944
Del Norte,29.89825581395349,2022,9,0.5263,0.4737,0.4035,0.9298,0.614,1,26.3181
El Dorado,48.69589041095888,2022,10,0.0702,0.1053,0.1579,0.0175,0.0175,3,76813.2876
Fresno,75.96164383561643,2022,13.8,0.9123,0.8947,0.9123,0.8421,0.9474,9,510.86899999999997
Glenn,43.99166666666666,2022,11.4,0.8596,0.6842,0.5088,0.193,0.6667,2,330.57189999999997
Humboldt,26.920547945205474,2022,12.8,0.7544,0.5088,0.2105,0.6316,0.6491,7,41702.59099999999
Imperial,76.95342465753424,2022,11,1,1,1,0.9825,1,1,25.0047
Inyo,75.6849315068493,2022,13.9,0.2456,0.3509,0.4211,0.3684,0.2982,3,4201.3695
Kern,87.63287671232881,2022,7.9,0.9474,0.807,0.7895,0.9649,0.9649,41,4534.617410000002
Los Angeles,85.60273972602735,2022,8.1,0.8246,0.386,0.9649,0.9474,0.8596,20,5801.644599999999
Madera,59.068493150684915,2022,10.6,0.9298,0.9649,0.7719,0.6491,0.9298,3,14136.971000000001
Marin,39.47945205479451,2022,7.4,0.0526,0.1228,0.2281,0.2105,0.0526,1,106.161
Mariposa,60.47397260273977,2022,13.9,0.4737,0.7544,0.1228,0.6667,0.5439,5,32696.8657
Mendocino,53.547945205479465,2022,13.9,0.8772,0.8772,0.3684,0.7719,0.8772,5,233.4987
Merced,59.25753424657534,2022,9.2,0.9825,0.9474,0.9649,0.7895,0.9825,3,396.8195
