COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,STCNTY,FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE
Humboldt,26.920547945205474,2022,12.8,(6.7-18.9),06023,06023,3568.02310732444,136132,62306,54495,39656,6162,20247,8177,8305,25688,25608,24235,3387,2232,38716,2820,4814,2264,3794,4137,29.8,9.2,37.2,8.7,6.1,18.9,18.8,17.9,6.2,1.7,28.4,4.5,7.7,4.1,7,3,0.8772,0.9123,1,0.2456,0.3333,3.3684,0.7544,0.5965,0.2105,0.7895,0.6667,0.193,2.4562,0.5088,0.2105,0.2105,0.2105,0.3158,0.6842,0.3158,0.8596,0.6491,2.8245,0.6316,8.8596,0.6491,133463,6026,1601,17129,4256,4593,324,9980,833,11.1,1.2,12.6,3.1,3.4,0.2,7.3,0.6
Imperial,76.95342465753424,2022,11,(7.1-14.9),06025,06025,4175.536860234826,179578,56907,47024,60845,9205,16352,31660,11731,23671,51049,24352,4607,32857,162397,4257,5612,4411,2955,8171,35.5,13.2,34.8,28.7,6.8,13.2,28.4,14.2,9.8,19.8,90.4,7.5,9.9,9.4,6.3,4.6,1,1,0.9825,1,0.5614,4.5439,1,0.1579,0.9474,0.6667,1,1,3.772,1,1,1,1,0.5088,0.7544,0.8772,0.7895,0.807,3.7369,0.9825,13.0528,1,191441,5865,4084,153382,2337,1277,44,1185,88,12.5,2.3,85.4,1.3,0.7,0,0.7,0
Inyo,75.6849315068493,2022,13.9,(9.8-18.1),06027,06027,10197.256158329406,18829,9471,7849,3629,426,2137,962,1238,4487,3838,3075,322,167,7616,199,2189,159,405,800,19.7,4.9,27.2,6.9,6.7,23.8,20.4,16.7,4.1,0.9,40.4,2.1,23.1,2.1,5.2,4.2,0.4035,0.1053,0.3509,0.1404,0.5439,1.544,0.2456,0.807,0.4035,0.7544,0.193,0.0702,2.2281,0.3509,0.4211,0.4211,0.4211,0.0526,1,0.0526,0.4737,0.7719,2.3508,0.3684,6.544,0.2982,18459,1371,121,4500,268,1513,176,996,42,17.5,0.6,23.9,1.4,8,0.9,5.3,0.2
Kern,87.63287671232881,2022,7.9,(5.1-10.8),06029,06029,8134.669306636574,906883,301687,277499,283531,32872,94760,129756,68569,102703,261013,100653,25534,83768,621664,18921,22460,26670,17883,27027,32.2,8.4,34.1,23.4,7.8,11.3,28.8,11.4,9.2,10,68.5,6.3,7.4,9.6,6.4,3,0.9649,0.8421,0.9649,0.8772,0.7368,4.3859,0.9474,0.0175,0.9649,0.2807,0.9649,0.807,3.035,0.807,0.7895,0.7895,0.7895,0.4386,0.6491,0.8947,0.8246,0.6491,3.4561,0.9649,11.6665,0.9649,927620,33025,44199,501705,43481,3429,1044,24493,3313,11.9,4.9,55.3,4.8,0.4,0.1,2.7,0.4
Kings,72.89589041095888,2022,8.7,(6-11.4),06031,06031,1390.971808832452,152515,46500,43594,38775,5352,13565,24260,10117,15971,41048,16895,3693,14477,106629,3094,1979,3625,2109,12997,27.8,9.2,31.1,25.5,7.4,10.5,26.9,12.4,8.4,10.2,69.9,6.6,4.3,8.3,4.8,8.5,0.807,0.9123,0.7018,0.8947,0.6842,4,0.8947,0,0.8772,0.4561,0.9123,0.8246,3.0702,0.8246,0.8246,0.8246,0.8246,0.4561,0.3333,0.7895,0.3684,0.9474,2.8947,0.7018,10.7895,0.8947,150475,5761,9091,85622,5705,1133,255,4537,286,13.2,6,56.1,3.7,0.7,0.2,3,0.2
Lake,33.03030303030304,2022,6.7,(3.9-9.6),06033,06033,1255.081502203306,68024,34313,26487,19017,2948,8590,6542,4359,15801,14511,13359,1298,1988,22765,1156,7207,1095,1485,1047,28.5,10.4,32.4,13.4,6.5,23.2,21.3,19.8,4.9,3.1,33.5,3.3,21,4.1,5.6,1.5,0.8596,0.9474,0.8596,0.5965,0.4561,3.7192,0.8421,0.7544,0.5263,0.9649,0.4035,0.3509,3,0.7895,0.2982,0.2982,0.2982,0.1754,0.9825,0.3158,0.6316,0.193,2.2983,0.3333,9.3157,0.7544,58788,4275,1507,15672,905,1579,199,2654,249,16.1,2.2,23,1.3,2.3,0.3,3.9,0.4
Los Angeles,85.60273972602735,2022,8.1,(7.4-8.7),06037,06037,4060.244062868932,9936690,3599561,3363093,2222770,365544,1138428,1364653,888735,1415856,2093072,1045189,199951,1173967,7431513,995678,56730,372330,291082,201521,22.7,7,33.9,19.7,9,14.2,21.1,10.6,5.9,12.5,74.8,27.7,1.6,11,8.7,2,0.5789,0.5614,0.9474,0.7719,0.8421,3.7017,0.8246,0.2281,0.4386,0.1579,0.614,0.9123,2.3509,0.386,0.9649,0.9649,0.9649,0.9825,0.0877,0.9825,0.9649,0.4035,3.4211,0.9474,10.4386,0.8596,9925418,325015,753155,4837594,1452646,18662,20597,298906,49953,9.7,7.6,48.7,14.6,0.2,0.2,3,0.5
Madera,59.068493150684915,2022,10.6,(6.7-14.4),06039,06039,2136.916867024202,157243,49880,43857,46401,7492,13274,27680,11459,22292,42872,20990,3393,18159,107326,2302,3218,4785,1881,6749,30.9,11.1,30.3,27.9,7.6,14.2,27.3,13.9,7.7,12.4,68.3,4.6,6.5,10.9,4.3,4.3,0.9298,0.9825,0.5965,0.9649,0.7193,4.193,0.9298,0.2281,0.9123,0.6491,0.8421,0.8947,3.5263,0.9649,0.7719,0.7719,0.7719,0.3333,0.5439,0.9649,0.2105,0.7895,2.8421,0.6491,11.3333,0.9298,154468,4781,3854,93855,3572,729,91,4777,448,10.9,2.5,59.7,2.3,0.5,0.1,3,0.3
Marin,39.47945205479451,2022,7.4,(4.8-10),06041,06041,520.42308346750394,260485,111681,103709,26716,7887,21634,12608,9485,60391,50946,24600,4571,10628,80145,14459,1353,4372,4775,6798,10.4,5.8,20.9,6.6,3.7,23.2,19.6,9.6,4.4,4.3,30.8,13,1.2,4.2,4.6,2.6,0.0175,0.3158,0.0702,0.1053,0.0351,0.5439,0.0526,0.7544,0.2807,0.1053,0.2281,0.4035,1.772,0.1228,0.2281,0.2281,0.2281,0.7719,0.0351,0.3684,0.2807,0.5789,2.035,0.2105,4.579,0.0526,250460,5305,5725,43143,16170,249,430,12416,2012,5.1,2.2,16.6,6.2,0.1,0.2,4.8,0.8
Mariposa,60.47397260273977,2022,13.9,(9.8-18.1),06043,06043,1448.83886886247,17130,9824,7597,4142,482,2219,1089,1228,5027,2927,3216,469,396,3897,318,1648,290,393,1752,24.4,6.2,29.2,8.1,7.2,29.3,17.1,18.9,6.2,2.4,22.7,3.3,16.8,3.8,5.2,10.2,0.6667,0.4211,0.4737,0.2105,0.6316,2.4036,0.4737,0.9474,0.1228,0.9298,0.6667,0.2632,2.9299,0.7544,0.1228,0.1228,0.1228,0.1754,0.9474,0.2807,0.4737,0.9825,2.8597,0.6667,8.316,0.5439,15272,1173,135,2223,227,238,62,857,155,15.4,0.8,13,1.3,1.4,0.4,5,0.9
Mendocino,53.547945205479465,2022,13.9,(9-18.8),06045,06045,3506.804948344802,91145,41380,34557,22772,3811,11532,8620,8317,21197,19250,16931,2418,3818,33894,1847,4113,1708,2771,2437,25.4,9.1,33.4,13.2,9.2,23.3,21.1,18.7,7,4.4,37.2,4.4,9.9,4.9,8,2.7,0.7193,0.8947,0.9123,0.5614,0.8947,3.9824,0.8772,0.7895,0.4386,0.8947,0.7544,0.4211,3.2983,0.8772,0.3684,0.3684,0.3684,0.2807,0.7544,0.4386,0.9474,0.5965,3.0176,0.7719,10.6667,0.8772,88389,4852,557,24414,1906,2633,86,3813,485,14,0.6,26.8,2.1,2.9,0.1,4.2,0.5
Merced,59.25753424657534,2022,9.2,(6.3-12.2),06047,06047,1938.003132479464,282290,87895,82760,82946,13272,26314,48122,25206,32222,82317,35696,7948,35832,211136,4109,5939,7161,5918,5553,30,10.7,31.8,28.6,9,11.4,29.2,12.8,9.6,13.7,74.8,4.6,6.8,8.6,7.2,2,0.8947,0.9649,0.7544,0.9825,0.8421,4.4386,0.9825,0.0351,0.9825,0.5263,0.9825,0.9474,3.4738,0.9474,0.9649,0.9649,0.9649,0.3333,0.5965,0.8246,0.8772,0.4035,3.0351,0.7895,11.9124,0.9825,274994,8906,7706,174732,20194,760,772,6443,529,10.8,2.7,61.9,7.2,0.3,0.3,2.3,0.2
Mono,119.53150684931532,2022,13.9,(9.8-18.1),06051,06051,3048.902807294826,13219,13625,5473,2047,144,1212,1236,1916,2075,2509,1047,90,502,4729,2476,864,257,132,452,15.6,1.9,22.1,12.8,14.7,15.7,19,8,1.6,4,35.8,18.1,6.3,4.6,2.4,3.4,0.2105,0,0.1053,0.5263,1,1.8421,0.3333,0.4035,0.2456,0,0,0.386,1.0351,0,0.3333,0.3333,0.3333,0.8596,0.5088,0.4035,0.0175,0.7193,2.5087,0.5088,5.7192,0.1404,12470,563,23,3582,539,152,0,289,144,10.3,0.2,27.1,4.1,1.1,0,2.2,1.1
Monterey,40.4027397260274,2022,6.6,(2.3-11),06053,06053,3281.716303231094,437609,143743,130973,90393,10504,37709,74511,42022,62381,113042,38882,7286,69012,312471,16268,6317,18443,6253,17876,21.5,5.3,28.8,26.6,9.9,14.3,25.8,9.2,5.6,16.9,71.4,11.3,4.4,14,4.8,4.1,0.4912,0.2105,0.4386,0.9298,0.9298,2.9999,0.6316,0.2632,0.7719,0.0702,0.5263,0.9825,2.6141,0.614,0.8947,0.8947,0.8947,0.7544,0.3509,1,0.3684,0.7544,3.2281,0.8772,9.7368,0.807,449528,10635,8977,261954,24715,647,1885,13043,1250,8.1,2.1,59.9,5.6,0.1,0.4,3,0.3
Nevada,59.112328767123316,2022,9.2,(5.8-12.6),06057,06057,957.7597177046,102322,53690,41415,17620,2090,13208,3889,5713,29045,17355,13871,1327,1155,17324,2106,2712,572,1687,1471,17.4,4.4,31.9,4.9,5.6,28.4,17,13.7,3.2,1.2,16.9,4,5.1,1.4,4.1,1.4,0.2807,0.0351,0.7719,0.0175,0.2456,1.3508,0.1754,0.9123,0.0877,0.614,0.0702,0.1228,1.807,0.1404,0.0175,0.0175,0.0175,0.2632,0.4386,0,0.1754,0.1754,1.0526,0.0702,4.2279,0.0351,95099,3916,376,10202,1423,317,149,4640,217,9.5,0.4,10,1.4,0.3,0.1,4.5,0.2
