ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
06,CALIFORNIA,CA,Lassen,06035,"Lassen County, California",4541.17844536702,31945.0,0.0,12726.0,192.0,9501.0,310.0,3558.0,462.0,942.0,195.0,20072.0,889.0,4245.0,323.0,3922.0,42.0,5262.0,75.0,4117.0,353.0,761.0,152.1,10844.0,32.0,633.0,158.9,513.0,123.7,1512.0,188.0,158.0,61.3,613.0,133.0,10042.0,438.0,16.2,2.0,9.4,1.9,20072.0,889.0,18.6,1.4,12.3,0.1,16.5,0.2,18.6,1.5,8.0,1.6,33.9,0.1,2.1,0.5,4.0,1.0,11.9,1.5,1.7,0.6,6.5,1.3,31.4,1.4,0.4912,0.4561,0.9123,0.6842,2.5439,0.6842,0.2632,0.0526,0.807,0.4211,1.5439,0.2105,0.3684,0.2632,0.6316,0.2982,0.3333,0.8596,0.0526,0.5439,1.0,2.7895,0.6316,7.5088,0.5614,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1809.0,332.0,8.2,1.5,32220.0
06,CALIFORNIA,CA,Los Angeles,06037,"Los Angeles County, California",4058.183381668448,10057155.0,0.0,3490118.0,1076.0,3281845.0,5067.0,1764081.0,15531.0,460565.0,4969.0,29301.0,147.0,1495617.0,8873.0,1227202.0,0.0,2296785.0,0.0,984716.0,7397.0,328552.0,3782.0,7369368.0,1416.0,1356170.0,8734.7,925645.0,5159.6,53701.0,1227.0,386393.0,3714.2,310206.0,3367.0,175462.0,2514.0,17.8,0.2,8.9,0.1,29301.0,147.0,22.3,0.1,12.2,0.0,22.8,0.0,9.9,0.1,10.0,0.1,73.3,0.0,14.4,0.1,26.5,0.1,1.5,0.1,11.8,0.1,9.5,0.1,1.7,0.0,0.5965,0.4386,0.4035,0.807,2.2456,0.614,0.2281,0.5439,0.1579,0.614,1.5439,0.193,0.9825,0.9298,1.9123,0.9649,0.9825,0.0877,0.9825,0.9474,0.3509,3.3509,0.9123,9.0526,0.7368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,1585437.0,13733.0,15.9,0.1,10100461.0
06,CALIFORNIA,CA,Madera,06039,"Madera County, California",2137.11250838252,153366.0,0.0,49844.0,187.0,43574.0,660.0,32043.0,2486.0,4872.0,592.0,19021.0,645.0,26930.0,1052.0,19711.0,100.0,42662.0,63.0,18497.0,1121.0,5316.0,546.8,98479.0,128.0,19819.0,1246.5,1318.0,293.5,3168.0,372.0,4080.0,475.9,2872.0,395.0,8041.0,433.0,22.1,1.7,8.2,0.9,19021.0,645.0,28.3,1.1,12.9,0.1,27.8,0.0,12.7,0.8,12.2,1.2,64.2,0.1,14.0,0.9,2.6,0.6,6.4,0.7,9.4,1.1,6.6,0.9,5.2,0.3,0.8947,0.3684,0.9649,0.9123,3.1404,0.8246,0.3333,0.8772,0.5088,0.8246,2.5439,0.8421,0.807,0.9123,1.7193,0.8947,0.1404,0.5263,0.8947,0.614,0.8421,3.0175,0.7544,10.4211,0.9123,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20801.0,1472.0,14.3,1.0,145204.0
06,CALIFORNIA,CA,Marin,06041,"Marin County, California",520.489162894294,259358.0,0.0,112259.0,241.0,104400.0,772.0,20445.0,1753.0,7021.0,697.0,63608.0,1474.0,13078.0,918.0,50476.0,127.0,53207.0,46.0,22971.0,832.0,6352.0,511.8,72997.0,444.0,10590.0,826.9,15448.0,836.6,1534.0,217.0,3786.0,473.2,5497.0,454.0,7510.0,526.0,8.1,0.7,5.1,0.5,63608.0,1474.0,6.9,0.5,19.5,0.1,20.5,0.0,9.0,0.3,6.1,0.5,28.1,0.2,4.3,0.3,13.8,0.7,1.4,0.2,3.6,0.5,5.3,0.4,2.9,0.2,0.0175,0.0175,0.0,0.0351,0.0702,0.0,0.7719,0.3158,0.0702,0.1053,1.2631999999999999,0.1228,0.2807,0.386,0.6667,0.3333,0.8246,0.0702,0.3509,0.3684,0.6667,2.2807,0.3684,4.2807,0.0702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16231.0,1272.0,6.4,0.5,244361.0
06,CALIFORNIA,CA,Mariposa,06043,"Mariposa County, California",1448.817045605226,17645.0,0.0,10334.0,176.0,7255.0,313.0,2849.0,456.0,780.0,290.0,27832.0,1689.0,1426.0,235.0,4381.0,80.0,2918.0,37.0,3110.0,375.0,494.0,139.6,3264.0,19.0,193.0,127.9,148.0,79.4,1999.0,234.0,179.0,95.9,207.0,82.0,1021.0,386.0,16.3,2.6,9.8,3.5,27832.0,1689.0,10.5,1.7,24.8,0.5,16.5,0.2,17.8,2.2,6.8,1.9,18.5,0.1,1.1,0.8,1.4,0.8,19.3,2.2,2.5,1.3,2.9,1.1,5.8,2.2,0.5088,0.5263,0.4912,0.2105,1.7368000000000001,0.4386,0.9474,0.0702,0.7544,0.2456,2.0175,0.4737,0.0877,0.0877,0.1754,0.1053,0.0526,0.9298,0.2105,0.0351,0.8947,2.1228,0.2281,6.0526,0.2456,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1267.0,267.0,7.3,1.5,15514.0
06,CALIFORNIA,CA,Mendocino,06045,"Mendocino County, California",3506.355092410358,87409.0,0.0,40695.0,145.0,34594.0,568.0,17366.0,1548.0,4526.0,588.0,25278.0,1089.0,8299.0,596.0,16542.0,50.0,19043.0,27.0,14598.0,758.0,3194.0,431.7,29391.0,91.0,4384.0,496.2,1667.0,287.8,4468.0,424.0,1780.0,301.8,2630.0,401.0,2174.0,322.0,20.2,1.8,11.0,1.4,25278.0,1089.0,13.5,1.0,18.9,0.1,21.8,0.0,16.9,0.9,9.2,1.2,33.6,0.1,5.3,0.6,4.1,0.7,11.0,1.0,5.1,0.9,7.6,1.2,2.5,0.4,0.7368,0.6842,0.5789,0.4561,2.4561,0.6667,0.7368,0.4737,0.6667,0.5439,2.4211,0.7368,0.3509,0.4386,0.7895,0.4035,0.3509,0.8246,0.4912,0.7895,0.5789,3.0351,0.7895,8.7018,0.6842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10931.0,821.0,12.6,0.9,83423.0
06,CALIFORNIA,CA,Merced,06047,"Merced County, California",1935.210909997212,265001.0,0.0,84140.0,286.0,78270.0,664.0,62661.0,3077.0,18143.0,1038.0,19130.0,415.0,48345.0,1189.0,27736.0,94.0,79805.0,69.0,40059.0,1340.0,12166.0,717.2,186882.0,227.0,33243.0,1422.8,3219.0,376.9,5217.0,436.0,6976.0,609.2,5964.0,505.0,6252.0,775.0,24.2,1.2,15.7,0.8,19130.0,415.0,31.4,0.8,10.5,0.1,30.1,0.0,15.3,0.5,15.5,0.9,70.5,0.1,13.7,0.6,3.8,0.4,6.2,0.5,8.9,0.8,7.6,0.6,2.4,0.3,0.9474,0.9825,0.9298,0.9474,3.807,0.9825,0.0702,0.9825,0.6491,0.9825,2.6842,0.9474,0.9649,0.8947,1.8596,0.9298,0.2982,0.4912,0.8421,0.7895,0.5439,2.9649,0.6842,11.3158,0.9825,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,34099.0,2001.0,13.0,0.8,251727.0
06,CALIFORNIA,CA,Modoc,06049,"Modoc County, California",3915.44325065426,9033.0,0.0,5242.0,47.0,3670.0,176.0,1483.0,355.0,259.0,113.0,21899.0,1504.0,908.0,189.0,2088.0,72.0,1812.0,0.0,1748.0,229.0,243.0,87.7,2019.0,7.0,256.0,114.1,34.0,32.2,505.0,156.0,67.0,44.1,140.0,75.0,518.0,104.0,16.9,4.1,6.8,3.0,21899.0,1504.0,13.6,2.8,23.1,0.8,20.1,0.0,19.9,2.6,6.6,2.4,22.4,0.1,3.0,1.3,0.6,0.6,9.6,3.0,1.8,1.2,3.8,2.0,5.7,1.2,0.5439,0.1404,0.7544,0.4737,1.9123,0.4737,0.8596,0.2281,0.8421,0.2105,2.1404,0.5614,0.1754,0.3158,0.4912,0.2456,0.0,0.7719,0.0877,0.0526,0.8596,1.7719,0.1228,6.3158,0.2982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.0,437.0,14.4,5.0,7964.0
06,CALIFORNIA,CA,Mono,06051,"Mono County, California",3048.98552849002,14051.0,0.0,14000.0,42.0,4950.0,411.0,1222.0,463.0,665.0,349.0,31059.0,2419.0,1486.0,228.0,1856.0,100.0,2783.0,100.0,972.0,245.0,235.0,158.1,4797.0,6.0,1013.0,379.9,2112.0,352.4,893.0,241.0,103.0,83.5,203.0,112.0,318.0,91.0,8.8,3.3,8.0,4.2,31059.0,2419.0,16.0,2.5,13.2,0.7,19.8,0.7,7.0,1.8,4.7,3.2,34.1,0.0,7.5,2.8,15.1,2.5,6.4,1.7,2.1,1.7,4.1,2.3,2.3,0.6,0.0526,0.3509,0.3333,0.5614,1.2982,0.2982,0.3684,0.2105,0.0,0.0526,0.6316,0.0,0.386,0.5439,0.9298,0.4561,0.8596,0.5263,0.1579,0.1404,0.5088,2.193,0.2982,5.0526,0.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2783.0,543.0,19.9,3.9,12971.0
06,CALIFORNIA,CA,Monterey,06053,"Monterey County, California",3280.581058717452,430201.0,0.0,140169.0,265.0,125916.0,701.0,66289.0,3189.0,13288.0,966.0,25947.0,488.0,78716.0,1298.0,51553.0,85.0,113889.0,0.0,37848.0,1340.0,14099.0,814.8,296575.0,264.0,75593.0,2205.9,14659.0,770.1,6074.0,397.0,16138.0,704.4,6089.0,516.0,18398.0,773.0,16.1,0.8,6.9,0.5,25947.0,488.0,29.1,0.5,12.0,0.1,26.5,0.0,9.2,0.3,11.2,0.6,68.9,0.1,19.0,0.6,10.5,0.5,4.3,0.3,12.8,0.6,4.8,0.4,4.3,0.2,0.4737,0.1754,0.5439,0.9298,2.1228,0.5965,0.193,0.7544,0.0877,0.7193,1.7544,0.2632,0.8947,0.9825,1.8772,0.9474,0.7368,0.3158,1.0,0.2632,0.7895,3.1053,0.8596,8.8596,0.7193,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,66570.0,2540.0,16.1,0.6,432697.0
06,CALIFORNIA,CA,Napa,06055,"Napa County, California",748.329752715716,140823.0,0.0,55301.0,190.0,49375.0,570.0,12086.0,1197.0,4910.0,514.0,38057.0,1018.0,15651.0,805.0,23949.0,47.0,30852.0,27.0,15370.0,671.0,3571.0,451.6,65176.0,207.0,11745.0,871.3,4610.0,424.3,3749.0,310.0,2766.0,372.6,2480.0,313.0,4351.0,494.0,8.8,0.9,6.6,0.7,38057.0,1018.0,16.1,0.8,17.0,0.1,21.9,0.0,11.1,0.5,7.2,0.9,46.3,0.1,8.8,0.7,8.3,0.8,6.8,0.6,5.6,0.8,5.0,0.6,3.1,0.4,0.0526,0.1053,0.1053,0.5789,0.8421,0.1404,0.6316,0.4912,0.3509,0.2982,1.7719,0.2982,0.4912,0.6316,1.1228,0.5614,0.6316,0.5789,0.5439,0.3333,0.6842,2.7719,0.614,6.5088,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12709.0,994.0,9.1,0.7,152816.0
