COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_UNINSUR,EP_UNINSUR,E_DAYPOP,n,GIS_ACRES,Year
Santa Clara,56.63287671232882,2018,9.5,(6.5-12.4),06085,1291.0851176,1922200,665365,635525,149850,49598,52451,157687,246908,432684,151779,39585,1306288,162853,144578,19043,51170,32645,35944,7.9,4.8,52451,11.9,12.8,22.5,7.9,6.2,68,9,21.7,2.9,8.1,5.1,1.9,0.0351,0.1053,0.0526,0.386,0.579,0.0526,0.2105,0.5789,0.0175,0.2105,1.0174,0.0351,0.8596,0.6667,1.5263,0.7719,0.9474,0.193,0.7719,0.3158,0.4211,2.6492,0.5789,5.7719,0.2281,91726,4.8,1782410,2,441.748,2018
Santa Cruz,44.673972602739745,2018,8.3,(4.6-12.1),06087,445.1239815,273765,105894,95756,37429,9027,39001,24323,41001,53761,30314,6797,116225,20226,9105,6053,7034,5234,12684,14.3,6.3,39001,13.6,15,19.6,11.1,7.1,42.5,7.8,8.6,5.7,7.3,5.5,4.6,0.4912,0.386,0.193,0.5088,1.579,0.4035,0.4912,0.2456,0.2807,0.3333,1.3508,0.1053,0.4561,0.5789,1.035,0.4912,0.6491,0.4561,0.6842,0.4211,0.8246,3.0351,0.7719,6.9999,0.4561,17004,6.2,243053,2,24.66638,2018
Shasta,51.46849315068493,2018,6.9,(3.0-10.8),06089,3775.394188,179085,78535,70473,30186,4824,27983,11606,35621,38673,31671,6077,35510,2041,3545,9313,2301,4788,3278,17.1,6.2,27983,9.2,19.9,21.6,17.8,8.6,19.8,1.2,4.5,11.9,3.3,6.8,1.8,0.6491,0.3509,0.5789,0.1228,1.7017,0.4211,0.7368,0.4737,0.7895,0.5263,2.5263,0.7895,0.1228,0.1404,0.2632,0.1404,0.4035,0.8246,0.2982,0.7018,0.386,2.6141,0.5263,7.1053,0.4737,13266,7.5,169416,15,343557.12971,2018
Siskiyou,55.73150684931512,2018,13.2,(5.0-21.5),06093,6278.7649556,43540,24102,19257,8374,1440,28130,3181,10463,8797,8410,1416,10150,613,792,3031,622,1350,543,19.4,7.9,28130,10,24,20.2,19.4,7.4,23.3,1.5,3.3,12.6,3.2,7,1.2,0.7368,0.5789,0.5614,0.2456,2.1227,0.5263,0.8246,0.3158,0.8947,0.4035,2.4386,0.7544,0.193,0.1754,0.3684,0.1754,0.2281,0.8596,0.2456,0.7719,0.1754,2.2806,0.3684,7.2103,0.5088,3050,7,40427,18,76742.136143,2018
Solano,53.66849315068491,2018,12.5,(6.1-18.9),06095,821.7515515,438530,156896,149067,44427,15346,33700,36031,64390,98813,52805,15236,269660,20223,13520,4468,7695,7541,10444,10.4,7,33700,12,14.7,22.5,12.4,10.2,61.5,4.9,8.6,2.8,5.2,5.1,2.4,0.2281,0.5263,0.2982,0.4035,1.4561,0.3509,0.4561,0.5789,0.4561,0.7018,2.1929,0.614,0.7193,0.4211,1.1404,0.5614,0.6491,0.1404,0.4737,0.3158,0.5439,2.1229,0.2456,6.9123,0.4386,23696,5.6,354911,1,2158.43,2018
Sonoma,44.00273972602741,2018,12.1,(5.5-18.6),06097,1575.8718794,501317,207631,189339,50714,13543,39929,42831,91097,100818,60313,13847,183080,26868,18481,9981,9850,9223,8491,10.3,5.1,39929,12,18.2,20.1,12.1,7.3,36.5,5.6,8.9,4.8,5.2,4.9,1.7,0.2105,0.1579,0.1579,0.4035,0.9298,0.2281,0.6491,0.2632,0.386,0.386,1.6843,0.2456,0.386,0.4561,0.8421,0.4386,0.6842,0.386,0.4737,0.2632,0.3509,2.158,0.2982,5.6142,0.2105,34386,6.9,440034,2,13.895902999999999,2018
Stanislaus,69.29863013698629,2018,8.1,(3.3-12.9),06099,1496.0150657,539301,181213,172682,86066,26130,25101,73664,67770,146907,70933,20021,309505,48530,12059,7723,11489,11100,5269,16.1,10.5,25101,21.7,12.6,27.2,13.2,11.6,57.4,9.7,6.7,4.3,6.7,6.4,1,0.614,0.9474,0.7544,0.807,3.1228,0.8421,0.193,0.8246,0.5263,0.8246,2.3685,0.7018,0.6491,0.7193,1.3684,0.6667,0.5263,0.3158,0.614,0.6491,0.0351,2.1403,0.2632,9,0.7544,35012,6.5,468322,4,11905.5611,2018
Sutter,67.45753424657536,2018,16,(7.6-24.4),06101,602.5301352,95872,34315,32360,15181,4144,26070,13697,14228,25116,13032,3639,51103,9529,2891,2013,2087,1934,1012,16,9.7,26070,22,14.8,26.2,13.8,11.2,53.3,10.7,8.4,5.9,6.4,6,1.1,0.5789,0.8947,0.7018,0.8246,3,0.7895,0.4737,0.7368,0.614,0.7895,2.614,0.9123,0.5439,0.8246,1.3685,0.6842,0.614,0.4737,0.5614,0.5614,0.0877,2.2982,0.4035,9.2807,0.807,9118,9.6,79153,3,1355.5859,2018
Tehama,55.558904109589015,2018,11.8,(4.9-18.6),06103,2949.1353968,63373,27437,24025,13464,2484,23126,6766,11965,15178,12622,2497,19834,2130,622,5745,1246,1802,866,21.5,9.3,23126,15.6,18.9,24,20.1,10.4,31.3,3.6,2.3,20.9,5.2,7.5,1.4,0.8947,0.8421,0.8421,0.614,3.1929,0.8772,0.7018,0.6842,0.9123,0.7544,3.0527,1,0.3158,0.3684,0.6842,0.3684,0.0877,0.9474,0.4737,0.8772,0.2456,2.6316,0.5439,9.5614,0.8596,4612,7.3,55364,11,11618.557899999998,2018
Trinity,55.948453608247426,2018,13.2,(5.0-21.5),06105,3179.2662178,12862,8850,5796,2491,446,25964,932,3389,2172,2713,533,2255,102,77,2180,148,320,293,19.7,8.6,25964,9.4,26.3,16.9,21.4,9.2,17.5,0.8,0.9,24.6,2.6,5.5,2.3,0.7719,0.7018,0.7193,0.1404,2.3334,0.6316,0.9123,0.1228,0.9825,0.5789,2.5965,0.8596,0.0526,0.0526,0.1052,0.0175,0,1,0.193,0.4211,0.5263,2.1404,0.2807,7.1755,0.4912,1435,11.3,9931,5,295282.94299999997,2018
Tulare,87.28219178082193,2018,9.5,(2.3-16.7),06107,4824.3765423,460477,147791,136106,115786,18321,20421,81345,50391,143528,55228,19209,326860,61208,6561,10023,13317,8274,5426,25.5,9.4,20421,30.2,10.9,31.2,12.1,14.1,71,14.5,4.4,6.8,9.8,6.1,1.2,1,0.8596,0.9825,0.9474,3.7895,0.9649,0.0351,1,0.386,0.9474,2.3685,0.7018,0.9474,0.9474,1.8948,0.9649,0.386,0.5614,0.9298,0.614,0.1754,2.6666,0.5965,10.7194,0.9474,44779,9.8,407291,10,8439.74506,2018
Tuolumne,48.879310344827566,2018,13.6,(4.5-22.7),06109,2220.8893497,53932,31487,22427,6715,1516,33685,3936,13351,9013,9698,1172,10568,398,728,2931,689,1055,3449,13.3,6.8,33685,9.6,24.8,16.7,19,5.2,19.6,0.8,2.3,9.3,3.1,4.7,6.4,0.386,0.4737,0.3158,0.1579,1.3334,0.3333,0.8421,0.1053,0.8772,0.0526,1.8772,0.386,0.1053,0.0526,0.1579,0.0877,0.0877,0.7193,0.2281,0.2105,0.9298,2.1754,0.3158,5.5439,0.193,2915,5.7,48452,10,134146.52434000003,2018
Ventura,61.49589041095888,2018,6.6,(3.8-9.5),06111,1842.4665107,848112,287498,271226,80058,25853,36891,88185,123435,199599,92104,20997,459811,77382,31090,10988,17892,11400,12601,9.6,5.9,36891,15.6,14.6,23.5,10.9,7.7,54.2,9.7,10.8,3.8,6.6,4.2,1.5,0.1579,0.2632,0.2281,0.614,1.2632,0.3158,0.4211,0.6667,0.2456,0.4386,1.772,0.3509,0.5789,0.7193,1.2982,0.6316,0.7544,0.2456,0.5965,0.1404,0.2807,2.0176,0.193,6.351,0.2982,78474,9.3,702449,62,94449.72630525996,2018
Yolo,52.224657534246596,2018,11.3,(4.2-18.4),06113,1014.7319493,214977,77512,73510,40583,6722,32598,17180,25441,45919,19947,5624,113703,12376,11484,3060,4068,5482,8204,19.6,6.5,32598,13.6,11.8,21.4,9.3,7.7,52.9,6.1,14.8,3.9,5.5,7.5,3.8,0.7544,0.4561,0.3684,0.5088,2.0877,0.5088,0.1053,0.4561,0.1053,0.4386,1.1053,0.0526,0.5263,0.4912,1.0175,0.4737,0.8596,0.2807,0.5263,0.8772,0.7719,3.3157,0.9123,7.5262,0.5439,12563,5.9,223875,3,90665.4152,2018
Alameda,57.161202185792376,2020,7.5,(5.7-9.3),06001,737.461520028006,1661584,605767,573174,NA,43126,NA,132307,231186,341591,151635,29079,1153001,119494,135019,7291,45236,53539,31878,NA,4.7,NA,11.2,13.9,20.6,9.2,5.1,69.4,7.6,22.3,1.2,7.9,9.3,1.9,NA,0.193,NA,0.3684,0.9649,0.1053,0.2632,0.3509,0.1053,0.3509,1.6843,0.0702,0.8596,0.614,0.8596,0.8596,0.9298,0.0351,0.7544,0.9825,0.4211,3.1229,0.8772,6.6317,0.2807,70389,4.3,1715160,1,396824,2020
Amador,38.45403899721447,2020,6.9,(4.1-9.7),06005,594.583866431254,39023,18246,14844,NA,853,NA,2711,10537,5962,6336,493,9062,418,908,1349,381,1009,3578,NA,5.6,NA,8.8,27,15.3,17.9,3.3,23.2,1.1,5,7.4,2.6,6.8,9.2,NA,0.3333,NA,0.1579,1.2806,0.193,0.8596,0.0175,0.8596,0.0526,1.8946,0.1579,0.1754,0.1053,0.1754,0.1754,0.386,0.5789,0.1579,0.7895,0.9474,2.8597,0.6667,6.2103,0.2281,1817,5.1,37659,2,68.3997,2020
Butte,65.65573770491805,2020,13.3,(9.1-17.6),06007,1636.488963275196,223344,93968,83879,NA,7687,NA,15042,40663,44865,37565,4313,64420,5615,7581,11432,2905,5564,6245,NA,7.4,NA,10.3,18.2,20.1,17,5.1,28.8,2.7,8.1,12.2,3.5,6.6,2.8,NA,0.6667,NA,0.3158,3.0176,0.5965,0.614,0.2982,0.807,0.3509,2.3683,0.4386,0.2456,0.2982,0.2456,0.2456,0.5789,0.8596,0.2632,0.7368,0.6491,3.0876,0.8596,8.7191,0.5965,13336,6,211098,16,321773.9012999999,2020
Calaveras,54.68956043956046,2020,6.9,(4.1-9.7),06009,1020.018687984618,45828,28096,16958,NA,949,NA,3641,12840,7618,9146,726,9048,312,429,2108,315,269,514,NA,5.2,NA,10.3,28,16.6,20.1,4.3,19.7,0.7,1.5,7.5,1.9,1.6,1.1,NA,0.2982,NA,0.3158,2.1929,0.4211,0.9298,0.0877,0.9825,0.2105,2.2456,0.3509,0.0526,0.0351,0.0526,0.0526,0.0175,0.614,0.0526,0,0.1053,0.7894,0,5.2805,0.1053,2424,5.3,35355,2,2991.73,2020
Colusa,55.43442622950823,2020,11.5,(7.8-15.2),06011,1150.712426560154,21491,8153,7329,NA,425,NA,3728,3142,5863,2861,596,14009,2821,155,612,434,324,202,NA,4.2,NA,27.2,14.6,27.3,13.4,8.1,65.2,14.2,1.9,7.5,5.9,4.4,0.9,NA,0.0702,NA,0.9298,2.772,0.5263,0.3684,0.8772,0.5789,0.8421,3.6315,0.9825,0.7368,0.9649,0.7368,0.7368,0.0526,0.614,0.5614,0.2456,0.0175,1.4911,0.1053,8.6314,0.5789,1815,8.5,22483,6,1338779.3062699998,2020
Contra Costa,54.17759562841533,2020,8.7,(5.9-11.5),06013,716.929061615816,1147788,415067,398299,NA,32666,NA,80257,181578,260191,127957,23103,658653,65454,53171,6533,19927,21003,9828,NA,5.5,NA,10.1,15.8,22.7,11.2,5.8,57.4,6,12.8,1.6,5,5.3,0.9,NA,0.3158,NA,0.2807,0.9824,0.1228,0.4912,0.6491,0.2632,0.5088,2.4035,0.4912,0.6316,0.4912,0.6316,0.6316,0.7719,0.0877,0.4561,0.4912,0.0175,1.8244,0.1228,5.8419,0.1754,57133,5,998459,1,396824,2020
Del Norte,43.328767123287676,2020,8,(5.5-10.6),06015,1006.22738554957,27692,11349,9805,NA,625,NA,4008,4924,6003,4622,613,10764,411,433,2220,395,847,2790,NA,6.4,NA,20.3,17.8,21.7,18.5,6.3,38.9,1.6,3.8,19.6,4,8.6,10.1,NA,0.5088,NA,0.8246,2.8422,0.5789,0.5789,0.5088,0.8947,0.614,2.8069,0.6842,0.4035,0.2105,0.4035,0.4035,0.2632,0.9474,0.3333,0.9474,0.9825,3.4738,0.9649,9.5264,0.7719,1370,5.5,27006,1,157430,2020
El Dorado,51.584699453551956,2020,8.8,(5.6-11.9),06017,1707.84872758093,190345,91569,73078,NA,4197,NA,8300,40418,37911,24758,2508,43426,2722,4353,4861,1864,3117,1766,NA,4.7,NA,6,21.2,19.9,13.1,3.4,22.8,1.5,4.8,5.3,2.6,4.3,0.9,NA,0.193,NA,0.0702,0.7193,0.0702,0.7368,0.2632,0.5439,0.0702,1.772,0.1228,0.1404,0.1579,0.1404,0.1404,0.3684,0.4211,0.1579,0.1754,0.0175,1.1403,0.0702,3.772,0.0175,8174,4.3,165238,4,1724.3982999999998,2020
Fresno,87.1612021857923,2020,12.8,(9.7-15.9),06019,5958.379844919784,990204,333357,310097,NA,39697,NA,138814,121129,281391,127456,27574,706035,99823,28072,12429,29905,24446,16855,NA,8.9,NA,22.7,12.2,28.4,13,8.9,71.3,10.9,8.4,3.7,9.6,7.9,1.7,NA,0.8246,NA,0.8421,4.2456,0.9298,0.0877,0.9298,0.5088,0.9123,3.2982,0.8947,0.9123,0.8596,0.9123,0.9123,0.5965,0.2456,0.8947,0.9123,0.3509,3,0.7719,11.4561,0.9649,76302,7.8,1028337,16,415006.8663,2020
Glenn,57.14010989010994,2020,11.5,(7.8-15.2),06021,1313.966998536702,28060,11210,10216,NA,712,NA,4608,4593,7491,4197,698,13762,2700,719,1505,402,423,289,NA,5.7,NA,25.5,16.4,26.7,15.1,6.8,49,10.4,6.4,13.4,3.9,4.1,1,NA,0.3684,NA,0.8772,3.1755,0.6842,0.5439,0.807,0.6491,0.7018,3.5088,0.9649,0.5088,0.807,0.5088,0.5088,0.4561,0.8947,0.3158,0.1579,0.0877,1.9122,0.1404,9.1053,0.6667,2549,9.2,24993,5,1034079.29,2020
Humboldt,32.87158469945355,2020,10.3,(7.3-13.3),06023,3568.186818047358,136101,63003,54120,NA,6074,NA,8745,24287,25945,22711,3417,36240,1942,2754,5388,2239,3903,4054,NA,9,NA,9.4,17.8,19.1,16.8,6.3,26.6,1.5,4.4,8.6,4.1,7.2,3,NA,0.8596,NA,0.2281,3.7017,0.8596,0.5789,0.193,0.7719,0.614,2.3157,0.4035,0.2105,0.1579,0.2105,0.2105,0.3333,0.6667,0.3509,0.8772,0.7018,2.9299,0.7193,9.1578,0.6842,10480,7.8,129822,6,144188.5892,2020
Imperial,65.09836065573772,2020,10.6,(7.3-14.0),06025,4175.536859848724,180580,57855,45768,NA,9444,NA,32935,23306,51772,23772,4342,162187,32870,3929,5684,4536,3237,10063,NA,13.7,NA,29.8,12.9,28.7,13.9,9.5,89.8,19.8,6.8,9.8,9.9,7.1,5.6,NA,1,NA,0.9825,4.5088,0.9825,0.1754,0.9474,0.614,0.9825,3.7193,1,1,1,1,1,0.4912,0.7895,0.9123,0.8421,0.8772,3.9123,1,13.1404,1,12001,7,191677,3,132.58259999999999,2020
Inyo,78.41530054644818,2020,6.9,(4.1-9.7),06027,10197.256158329406,17930,9514,7954,NA,330,NA,1246,4172,3722,2690,276,6980,303,216,2322,153,446,626,NA,3.9,NA,9.5,23.3,20.8,15.3,3.5,38.9,1.8,2.3,24.4,1.9,5.6,3.5,NA,0.0175,NA,0.2456,1.1053,0.1579,0.807,0.4035,0.6667,0.0877,2.2281,0.3333,0.4035,0.2632,0.4035,0.4035,0.1053,1,0.0526,0.5789,0.7544,2.4912,0.5088,6.2281,0.2456,1183,6.7,17681,1,9150.4,2020
Kern,88.65300546448087,2020,9,(6.9-11.1),06029,8134.64181733248,892458,299179,273556,NA,34847,NA,134122,97864,258159,98426,23417,595953,82813,16844,22085,25164,17920,30505,NA,9.1,NA,24.7,11,28.9,11.4,8.6,66.8,10.1,5.6,7.4,9.2,6.6,3.4,NA,0.8947,NA,0.8596,4.2982,0.9649,0.0175,0.9649,0.2807,0.8772,2.9298,0.7544,0.807,0.7895,0.807,0.807,0.4211,0.5789,0.8772,0.7368,0.7368,3.3508,0.9123,11.3858,0.9474,66775,7.7,902998,34,12213.58725,2020
Kings,77.89617486338803,2020,12.8,(8.8-16.7),06031,1390.971807674146,151090,46267,43604,NA,4952,NA,24350,15564,40923,16034,4015,103373,14598,3149,1795,3650,2287,14129,NA,8.4,NA,26,10.3,27.1,11.9,9.2,68.4,10.5,6.8,3.9,8.4,5.2,9.4,NA,0.7368,NA,0.8947,3.4912,0.807,0,0.8246,0.4035,0.9474,3.0001,0.807,0.8246,0.8246,0.8246,0.8246,0.4912,0.2807,0.807,0.4386,0.9649,2.9824,0.7368,10.2983,0.8596,10122,7.5,148434,2,63.3635,2020
Lake,32.68376068376066,2020,11.7,(7.4-16.0),06033,1256.5506963754,64276,34477,25508,NA,2819,NA,6403,14685,13528,12831,1357,19786,1706,1010,7727,967,1306,984,NA,10.5,NA,13.8,22.8,21,20.2,5.3,30.8,2.8,2.9,22.4,3.8,5.1,1.5,NA,0.9649,NA,0.5439,3.6667,0.8246,0.7895,0.4211,1,0.4211,2.9475,0.7895,0.2807,0.3158,0.2807,0.2807,0.1754,0.9825,0.2807,0.4211,0.2807,2.1404,0.2632,9.0353,0.6316,4642,7.3,53048,16,1338241.0720600002,2020
Los Angeles,99.12295081967217,2020,8.7,(7.8-9.6),06037,4059.279940306098,10040682,3559790,3332504,NA,338720,NA,1395909,1370141,2178559,1005489,207101,7437402,1215442,971970,56891,374206,293326,182563,NA,6.5,NA,20.2,13.6,21.7,10.1,6.2,74.1,12.9,27.3,1.6,11.2,8.8,1.8,NA,0.5439,NA,0.7719,3.7544,0.8772,0.2281,0.5088,0.1404,0.5965,2.3861,0.4561,0.9825,0.9123,0.9825,0.9825,0.9825,0.0877,0.9825,0.9649,0.386,3.4036,0.9474,10.5266,0.8772,914046,9.2,9991605,40,157634.58316000004,2020
Madera,71.51092896174868,2020,13.7,(8.6-18.8),06039,2136.916867410304,155925,50480,44479,NA,6270,NA,27479,21858,42781,19865,2929,103816,18287,1598,3240,4840,1955,8186,NA,9.6,NA,28,14,27.4,13.4,6.6,66.6,12.7,3.2,6.4,10.9,4.4,5.2,NA,0.9123,NA,0.9474,3.9474,0.9123,0.2807,0.8947,0.5789,0.6667,3.3157,0.9298,0.7719,0.8947,0.7719,0.7719,0.2281,0.5263,0.9649,0.2456,0.8421,2.807,0.614,10.842,0.9123,11242,7.6,151911,4,380435.0567,2020
Marin,42.33060109289619,2020,10.7,(8.1-13.4),06041,520.422950262314,259441,112319,104900,NA,6184,NA,12137,57834,51974,22652,5069,76182,8984,14401,1319,4689,4495,7152,NA,4.5,NA,6.4,22.3,20,8.9,4.8,29.4,3.6,12.8,1.2,4.5,4.3,2.8,NA,0.1228,NA,0.0877,0.3157,0,0.7719,0.2807,0.0526,0.2807,1.7894,0.1404,0.2632,0.4035,0.2632,0.2632,0.7719,0.0351,0.4035,0.1754,0.6491,2.035,0.1754,4.4033,0.0526,8222,3.2,246039,4,4925.7463099999995,2020
Mariposa,70.85519125683066,2020,6.9,(4.1-9.7),06043,1448.83886886247,17319,10525,7846,NA,661,NA,1232,4881,2844,3277,679,3653,141,303,1814,188,381,1190,NA,8.7,NA,9.1,28.2,16.4,19.1,8.7,21.1,0.9,2.9,17.2,2.4,4.9,6.9,NA,0.7895,NA,0.2105,2.807,0.5614,0.9649,0.0702,0.9474,0.8947,2.9474,0.7719,0.1228,0.0702,0.1228,0.1228,0.1754,0.9123,0.1053,0.3684,0.9298,2.4912,0.5088,8.3684,0.5614,1171,6.8,15131,5,7083.847559999999,2020
Mendocino,52.10109289617483,2020,9.8,(5.6-14.1),06045,3506.822560387532,87110,40874,34164,NA,3536,NA,8269,19234,18592,15278,2523,31263,3810,1617,3911,1864,2385,2275,NA,8.6,NA,13.3,22.1,21.3,17.7,7.4,35.9,4.6,4,9.6,5.5,7,2.6,NA,0.7719,NA,0.5263,3.9123,0.8947,0.7544,0.4561,0.8246,0.7719,3.2456,0.8421,0.3684,0.4386,0.3684,0.3684,0.2982,0.7719,0.5088,0.8246,0.614,3.0175,0.7895,10.5438,0.8947,8044,9.3,82119,7,1035270.6114999998,2020
Merced,64.08196721311478,2020,14.7,(9.1-20.3),06047,1938.003132479464,273661,86691,81306,NA,12819,NA,49104,30765,80729,35541,7831,200074,33758,3685,5692,6941,5792,6050,NA,10.7,NA,30.3,11.2,29.5,13.1,9.6,73.1,13.4,4.3,6.6,8.5,7.1,2.2,NA,0.9825,NA,1,4.2808,0.9474,0.0351,0.9825,0.5439,1,3.4913,0.9474,0.9649,0.9298,0.9649,0.9649,0.3158,0.5614,0.8246,0.8421,0.4912,3.0351,0.807,11.7721,0.9825,21609,8,265012,4,399798.4716,2020
Mono,113.52732240437155,2020,6.9,(4.1-9.7),06051,3048.902601116358,14395,14092,5196,NA,202,NA,1185,2198,2983,913,154,5057,439,1927,870,216,165,352,NA,2.4,NA,11.8,15.3,20.7,6.4,3,35.1,3.2,13.7,6.2,4.2,3.2,2.4,NA,0,NA,0.4561,1.9824,0.3158,0.4035,0.386,0,0.0175,1.1754,0,0.3333,0.3684,0.3333,0.3333,0.8246,0.4912,0.3684,0.0351,0.5439,2.2632,0.3684,5.7543,0.1579,1800,12.6,14093,6,51170.19849999999,2020
Monterey,47.54918032786882,2020,8.3,(5.4-11.2),06053,3281.721451901264,432977,141910,128003,NA,10084,NA,74661,59061,113350,37082,7163,305345,68607,14762,6592,17397,5449,17329,NA,5.1,NA,27,13.6,26.2,8.9,5.6,70.5,17.1,10.4,4.6,13.6,4.3,4,NA,0.2632,NA,0.9123,3.2808,0.7193,0.2281,0.7719,0.0526,0.4561,2.4912,0.5614,0.8947,0.9825,0.8947,0.8947,0.7368,0.3684,1,0.1754,0.7895,3.0701,0.8421,9.7368,0.8246,39081,9.4,439994,21,213367.32044999997,2020
Napa,46.79726027397261,2020,14.1,(4.7-23.6),06055,748.278403466328,138572,55339,48484,NA,3350,NA,14162,26610,28555,16700,2256,66755,9612,5433,3539,2858,2418,4001,NA,4.5,NA,14.5,19.2,20.6,12.2,4.7,48.2,7.3,9.8,6.4,5.9,5,2.9,NA,0.1228,NA,0.614,1.3684,0.2105,0.6316,0.3509,0.4561,0.2632,2.2983,0.3684,0.4737,0.5965,0.4737,0.4737,0.7018,0.5263,0.5614,0.4035,0.6842,2.8772,0.6842,7.0176,0.3684,8025,5.9,149332,11,372949.58598,2020
Nevada,56.79781420765022,2020,6,(4.2-7.9),06057,957.759718476804,99417,53905,40917,NA,1851,NA,4144,27250,17000,13719,1627,15100,1167,2127,3296,711,1483,1255,NA,4,NA,5.4,27.4,17.1,13.9,4,15.2,1.2,3.9,6.1,1.7,3.6,1.3,NA,0.0351,NA,0.0526,1.2456,0.1754,0.8772,0.1404,0.614,0.1404,1.8948,0.193,0.0175,0.1228,0.0175,0.0175,0.2807,0.4561,0.0175,0.0877,0.193,1.035,0.0351,4.1929,0.0351,5617,5.7,89266,1,705.546,2020
Orange,65.03825136612022,2020,7.9,(6.6-9.2),06059,792.840952285266,3170345,1101244,1040001,NA,83099,NA,304692,468842,697715,279176,52985,1907705,279331,212164,29762,91873,46302,43652,NA,5,NA,14,14.8,22,8.9,5.1,60.2,9.4,19.3,2.7,8.8,4.5,1.4,NA,0.2456,NA,0.5614,2.0175,0.3333,0.386,0.5789,0.0526,0.3509,2.1228,0.3158,0.6667,0.7544,0.6667,0.6667,0.8772,0.1404,0.8421,0.2807,0.2632,2.4036,0.4386,7.2106,0.4211,225042,7.1,3408183,11,32903.82449000001,2020
Placer,68.14754098360653,2020,10,(6.7-13.3),06061,1407.073921698848,391799,166083,145714,NA,7917,NA,13573,76618,87116,40920,6544,111533,6094,12418,4448,2813,5403,4187,NA,4.2,NA,4.9,19.6,22.2,10.5,4.5,28.5,1.6,7.5,2.7,1.9,3.7,1.1,NA,0.0702,NA,0.0175,0.3508,0.0175,0.6491,0.5965,0.2281,0.2456,1.9298,0.2456,0.2281,0.2105,0.2281,0.2281,0.5439,0.1404,0.0526,0.1053,0.1053,0.9475,0.0175,3.4562,0,14444,3.7,405989,13,1354.0344999999998,2020
Plumas,73.24444444444441,2020,8,(5.5-10.6),06063,2553.061162870744,18844,15873,8332,NA,524,NA,771,5217,3172,3131,311,3343,216,305,1900,196,442,395,NA,6.3,NA,5.3,27.7,16.8,16.8,3.7,17.7,1.2,1.9,12,2.4,5.3,2.1,NA,0.4912,NA,0.0351,1.0702,0.1404,0.9123,0.1228,0.7719,0.1053,2.0351,0.2632,0.0351,0.1228,0.0351,0.0351,0.0526,0.8421,0.1053,0.4912,0.4737,1.9649,0.1579,5.1053,0.0877,592,3.2,18783,9,395463.1749,2020
Riverside,98.120218579235015,2020,7.3,(6.0-8.7),06065,7209.266106034932,2437864,845066,736413,NA,82367,NA,273740,352375,613823,280243,45018,1600017,182640,64822,72363,52030,29230,37959,NA,7.3,NA,17.2,14.5,25.2,11.6,6.1,65.6,8,7.7,8.6,7.1,4,1.6,NA,0.614,NA,0.6491,3.3332,0.7368,0.3509,0.7193,0.3333,0.5614,2.614,0.5965,0.7544,0.6491,0.7544,0.7544,0.5614,0.6667,0.6842,0.1404,0.3333,2.386,0.4035,9.0876,0.6491,204878,8.5,2229551,17,79211.69548,2020
Sacramento,65.08469945355195,2020,9.9,(7.5-12.2),06067,965.270605470636,1537948,572916,547519,NA,48974,NA,125811,216519,363852,182571,39843,865983,89534,74537,13609,28745,34601,23821,NA,6.4,NA,12.1,14.1,23.7,12,7.3,56.3,6.2,13,2.4,5.3,6.3,1.5,NA,0.5088,NA,0.4912,2.5088,0.4912,0.2982,0.6842,0.4211,0.7544,2.6842,0.6316,0.614,0.5263,0.614,0.614,0.807,0.1228,0.4912,0.7018,0.2807,2.4035,0.4211,8.2105,0.5439,83134,5.5,1598380,4,6506.119,2020
San Benito,47.92896174863389,2020,10.9,(3.3-18.4),06069,1388.65101110067,61547,19215,18389,NA,2409,NA,7223,7812,15844,6237,1123,40980,4971,501,849,1415,505,266,NA,7.5,NA,18.1,12.7,25.7,10.2,6.1,66.6,8.7,2.6,4.4,7.7,2.7,0.4,NA,0.7018,NA,0.6842,2.4386,0.4737,0.1404,0.7368,0.193,0.5614,2.2983,0.3684,0.7719,0.6667,0.7719,0.7719,0.1579,0.3333,0.7368,0.0175,0,1.2455,0.0877,6.7543,0.3158,4012,6.5,50841,5,2433.72555,2020
