COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_UNINSUR,EP_UNINSUR,E_DAYPOP,n,GIS_ACRES,Year
San Benito,42.63661202185794,2016,5.3,(1.0-9.6),06069,1388.714411751784,58051,18139,17390,6224,3211,27848,7957,6519,15708,5444,1975,37067,5252,647,897,1427,460,295,10.8,10.8,27848,21.7,11.2,27.1,9.4,11.4,63.9,9.7,3.6,4.9,8.2,2.6,0.5,0.1579,0.6667,0.4737,0.7719,2.0702,0.5088,0.0877,0.7719,0.1053,0.7895,1.7544,0.2807,0.7719,0.6842,1.4561,0.7018,0.2281,0.3509,0.7895,0,0,1.3684,0.0877,6.6491,0.386,6594,11.4,47106,5,446.5764,2016
San Bernardino,99.40163934426236,2016,10.6,(7.5-13.8),06071,20057.273250248647,2106754,708442,618922,392195,104472,21857,274381,218205,576482,224187,78570,1463968,164265,62787,40844,54440,34920,54034,19.1,11,21857,21.2,10.4,27.4,10.9,12.7,69.5,8.4,8.9,5.8,8.8,5.6,2.6,0.6842,0.6842,0.7719,0.7544,2.8947000000000003,0.7544,0.0351,0.807,0.2632,0.8947,2,0.4561,0.9298,0.614,1.5439,0.7895,0.6842,0.4561,0.807,0.4035,0.6316,2.9825,0.7018,9.4211,0.807,290269,14.1,1996750,8,45387.2187,2016
San Diego,73.89890710382511,2016,7.1,(5.5-8.7),06073,4206.639132326722,3253356,1187644,1103128,444024,126990,32482,293959,413435,727664,310902,94202,1733652,228467,246059,43153,70966,64192,88924,14,7.8,32482,13.6,12.7,22.4,9.9,8.5,53.3,7.5,20.7,3.6,6.4,5.8,2.7,0.386,0.3158,0.2456,0.4737,1.4211,0.3333,0.2982,0.5088,0.1579,0.5088,1.4737,0.1754,0.5614,0.5263,1.0877,0.5263,0.9123,0.2281,0.5789,0.4386,0.6491,2.807,0.6491,6.7895,0.4211,385939,12.2,3362701,11,9166.039240000002,2016
San Luis Obispo,57.80327868852457,2016,5.9,(1.5-10.4),06079,3300.647131396374,278680,119399,104404,37208,7479,32335,18206,48924,50812,30013,6728,84479,10287,7129,10607,3732,5016,16409,14.2,5.5,32335,9.9,17.6,18.2,11,6.4,30.3,3.9,6,8.9,3.6,4.8,5.9,0.4035,0.0351,0.2632,0.1579,0.8596,0.1579,0.6667,0.1754,0.2807,0.193,1.3158,0.1404,0.3158,0.3333,0.6491,0.3158,0.4912,0.6842,0.3333,0.2632,0.9123,2.6842,0.5965,5.5088,0.1579,27491,10.1,277908,13,48684.46410000001,2016
Santa Barbara,52.60928961748635,2016,6.2,(1.1-11.3),06083,2735.146798888996,439395,154574,143051,66880,16101,31098,53932,61517,98870,42011,12917,237559,45946,19769,7859,14580,9301,19742,15.9,7.2,31098,19.9,14,22.5,9.7,9,54.1,11.2,12.8,5.1,10.2,6.5,4.5,0.4561,0.2456,0.3158,0.7193,1.7368,0.4035,0.4737,0.5263,0.1404,0.5263,1.6667,0.2281,0.614,0.8421,1.4561,0.7018,0.7895,0.4035,0.9474,0.5439,0.8246,3.5088,0.9825,8.3684,0.6316,58970,13.6,464262,6,53022.8604,2016
Santa Clara,48.644808743169406,2016,6,(3.9-8.0),06085,1291.206177528142,1885056,651905,626579,172213,65981,46034,166105,230274,435218,146448,42231,1259838,171519,137677,18983,49176,32123,34677,9.3,6.6,46034,12.9,12.2,23.1,7.8,6.7,66.8,9.7,21.1,2.9,7.8,5.1,1.8,0.0877,0.1053,0.0526,0.4211,0.6667,0.0526,0.2281,0.614,0.0175,0.2281,1.0877,0.0351,0.8596,0.7193,1.5789,0.8246,0.9298,0.1754,0.7544,0.3509,0.4386,2.6491,0.5789,5.9825,0.2281,144253,7.7,2057491,3,4682.83,2016
Santa Cruz,37.202185792349724,2016,11.3,(6.0-16.6),06087,445.16299204766,270931,105255,95062,39211,10361,34732,23995,36624,54522,26982,6912,113279,20762,9382,6055,6386,5618,12166,15.1,7.3,34732,13.7,13.5,20.1,10,7.3,41.8,8.1,8.9,5.8,6.7,5.9,4.5,0.4386,0.2632,0.193,0.5088,1.4035,0.3158,0.4211,0.2456,0.193,0.3158,1.1754,0.0877,0.4561,0.5789,1.0351,0.4737,0.7193,0.4561,0.5965,0.4561,0.807,3.0351,0.7719,6.6491,0.3684,27600,10.2,260633,1,4474.12,2016
Shasta,46.95355191256832,2016,7.3,(3.1-11.6),06089,3775.374643548308,179228,77942,69713,30945,6728,25094,12539,34570,38822,32486,5720,34134,1963,3831,8983,1877,4587,3138,17.5,8.7,25094,10,19.3,21.7,18.3,8.2,19,1.2,4.9,11.5,2.7,6.6,1.8,0.5614,0.386,0.5965,0.1754,1.7193,0.386,0.7544,0.4386,0.7719,0.4737,2.4386,0.7544,0.1228,0.1053,0.2281,0.1228,0.4386,0.8421,0.2281,0.614,0.3684,2.4912,0.4737,6.8772,0.4561,20547,11.6,178396,4,458.0529,2016
Siskiyou,28.61325966850829,2016,7.2,(1.2-13.3),06093,6278.781012376394,43668,24034,19045,9524,2161,23542,3627,9941,8841,8822,1503,9772,755,815,3129,569,1484,582,22,11.7,23542,11.4,22.8,20.2,20.3,7.9,22.4,1.8,3.4,13,3,7.8,1.3,0.8772,0.7895,0.6842,0.2632,2.614,0.7193,0.8421,0.2632,0.9123,0.386,2.4035,0.7018,0.193,0.193,0.386,0.1754,0.193,0.8947,0.2807,0.8596,0.2281,2.4561,0.4211,7.8596,0.5789,4291,9.9,41639,15,36781.448133900005,2016
Solano,47.590163934426215,2016,13.3,(5.9-20.6),06095,821.771831903096,429596,155091,145315,53265,21347,30251,36163,58275,98840,50337,16273,260195,20279,13583,4552,6617,8323,10758,12.7,10,30251,12.5,13.6,23,12.1,11.2,60.6,5,8.8,2.9,4.6,5.7,2.5,0.3158,0.5789,0.3684,0.3509,1.614,0.3684,0.4386,0.5789,0.4211,0.7368,2.1754,0.5789,0.7193,0.4035,1.1228,0.5789,0.6667,0.1754,0.4035,0.4211,0.5965,2.2632,0.3333,7.1754,0.5088,38213,9.2,380803,1,58.7602,2016
